event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T13:09:50Z,1,48,1024,-0.004468214785447344,3.6315050423145294,3.5679636746644974,-4.74,0.02,193.436763048172
update,2026-03-11T13:13:02Z,2,48,2048,-0.0018069841898977757,2.860329121351242,3.552199438214302,-4.59,0.06,385.5970220565796
update,2026-03-11T13:16:14Z,3,48,3072,-0.0019452373962849379,1.6991594098508358,3.508846491575241,-3.91,0.02,577.6138150691986
update,2026-03-11T13:23:37Z,4,48,4096,-0.003395079227630049,1.3112912513315678,3.5018453672528267,-3.4550000000000005,0.06,1020.3137302398682
update,2026-03-11T13:26:50Z,5,48,5120,-0.002271164965350181,1.6467951945960522,3.494877763092518,-3.1649999999999996,0.1,1212.8973500728607
update,2026-03-11T13:30:00Z,6,48,6144,-0.003922514762962237,1.4977478608489037,3.500887453556061,-4.140000000000001,0.04,1403.0368390083313
update,2026-03-11T13:33:16Z,7,48,7168,-0.0053593281481880695,1.8175273686647415,3.5066167414188385,-3.31,0.08,1598.9764020442963
update,2026-03-11T13:36:33Z,8,48,8192,-0.0051825904520228505,1.546476412564516,3.455756276845932,-3.8649999999999998,0.06,1796.5002791881561
update,2026-03-11T13:39:46Z,9,48,9216,-0.0034765881136991084,1.5665449649095535,3.3891359865665436,-3.7650000000000006,0.04,1989.2478561401367
update,2026-03-11T13:44:00Z,10,48,10240,-0.0028453979757614434,1.854069847613573,3.4179745092988014,-3.935,0.12,2243.212333202362
update,2026-03-11T13:47:09Z,11,48,11264,-0.004393088092911057,1.8157906755805016,3.4079474583268166,-3.435,0.12,2432.458920955658
update,2026-03-11T13:50:21Z,12,48,12288,-0.00675817730370909,1.3339300733059645,3.407770000398159,-3.815,0.04,2624.7978100776672
update,2026-03-11T13:53:31Z,13,48,13312,-0.003561824152711779,1.5337987430393696,3.2961388528347015,-3.5449999999999995,0.06,2814.389219045639
update,2026-03-11T13:57:21Z,14,48,14336,-0.0012737145880237222,1.9833125546574593,3.3403163999319077,-3.1300000000000003,0.1,3044.7672300338745
update,2026-03-11T14:00:32Z,15,48,15360,-0.004461266755242832,1.5957666970789433,3.276975706219673,-2.8400000000000003,0.1,3235.5583848953247
update,2026-03-11T14:21:11Z,16,48,16384,-0.0061450071225408465,1.5368276238441467,3.3450846672058105,-2.4550000000000005,0.14,4473.877297878265
update,2026-03-11T14:24:19Z,17,48,17408,-0.0016504514787811786,1.7145503349602222,3.334982208907604,-2.7599999999999993,0.14,4661.841648101807
update,2026-03-11T14:27:37Z,18,48,18432,-0.0031389441282954067,1.7437462881207466,3.2843631356954575,-3.175,0.1,4859.848874092102
update,2026-03-11T14:30:49Z,19,48,19456,-0.003037742921151221,2.2773462794721127,3.3465493246912956,-2.285,0.18,5052.058942079544
